year,type,quantity,expenditure_type,sources
2023,target,2600,capital, https://www.gov.ie/en/collection/f9a38-annual-reports/ 
2023,actual,-1,capital,
2023,target,1400,current,
2023,actual,-1,current,
2022,target,2580,capital,
2022,actual,1991,capital,
2022,target,1370,current,
2022,actual,1395,current,
2021,target,2031,capital,
2021,actual,1512,capital,
2021,target,1276,current,
2021,actual,1268,current,
2020,target,1500,capital,
2020,actual,1393,capital,
2020,target,1100,current,
2020,actual,1164,current,
2019,target,1400,capital,
2019,actual,1446,capital,
2019,target,981,current,
2019,actual,919.3,current,
2018,target,1140,capital,
2018,actual,1232,capital,
2018,target,760,current,
2018,actual,751.3,current,
2017,target,732,capital,
2017,actual,759.8,capital,
2017,target,568,current,
2017,actual,563.4,current,
2016,target,432.29,capital,
2016,actual,464,capital,
2016,target,379.535,current,
2016,actual,372.1,current,
